login_hour,failed_logins,usb_usage,files_accessed,emails_sent,downloads,after_hours,role,risk
8,1,1,161,30,33,1,Manager,1
20,8,1,106,24,4,0,Employee,1
9,1,1,159,57,17,1,Employee,1
10,0,0,13,68,1,0,Employee,0
9,4,0,184,56,0,0,Employee,0
4,0,1,56,43,26,1,Manager,1
11,7,0,85,10,9,0,Manager,1
12,1,1,47,24,16,1,Employee,1
3,3,1,198,56,15,0,Employee,1
14,1,0,122,49,19,1,Employee,1
20,0,0,65,61,40,1,Employee,1
11,0,0,29,30,40,1,Manager,1
0,2,1,150,15,25,0,Employee,1
1,9,1,177,76,9,1,Employee,1
7,2,1,24,79,21,0,Employee,1
11,10,0,180,68,6,0,Manager,1
7,5,1,113,24,1,1,Manager,1
23,2,1,11,62,28,1,Admin,1
22,7,0,146,23,34,1,Manager,1
23,7,1,154,70,10,0,Admin,1
4,7,1,68,69,23,1,Employee,1
20,8,1,188,23,1,1,Admin,1
7,5,0,169,68,24,0,Admin,1
21,7,0,157,36,20,1,Admin,1
10,1,0,134,8,2,0,Employee,0
1,3,0,125,24,6,0,Admin,0
20,6,1,135,79,37,1,Employee,1
11,3,0,4,26,31,0,Manager,1
20,0,1,143,53,23,0,Admin,1
8,8,0,188,9,19,0,Employee,1
16,1,0,186,29,34,1,Employee,1
6,8,0,146,80,11,1,Admin,1
3,10,1,173,58,27,0,Employee,1
5,8,1,130,43,10,1,Manager,1
10,8,1,96,52,40,1,Admin,1
10,9,0,145,69,13,1,Admin,1
23,4,1,116,57,25,0,Admin,1
1,4,0,133,17,19,0,Manager,0
7,3,1,6,35,35,0,Employee,1
1,7,1,40,17,16,1,Admin,1
7,3,1,77,11,36,1,Admin,1
6,1,1,124,22,31,0,Admin,1
20,4,0,188,73,24,0,Employee,1
10,5,1,107,15,14,0,Admin,1
20,6,0,79,67,2,1,Admin,1
18,2,1,129,28,9,0,Admin,1
23,6,1,193,76,36,0,Employee,1
13,4,1,38,16,21,0,Manager,1
18,0,1,68,10,25,1,Admin,1
4,2,1,144,25,31,1,Admin,1
18,3,0,63,9,17,1,Manager,1
21,9,0,29,52,27,1,Manager,1
6,5,1,153,3,19,0,Manager,1
19,7,0,113,5,14,0,Admin,1
11,2,0,29,6,15,0,Manager,0
0,5,0,79,57,30,0,Manager,1
6,8,0,53,69,33,1,Admin,1
15,9,0,178,2,24,0,Manager,1
5,0,1,52,79,17,0,Manager,1
20,0,0,100,34,23,0,Employee,1
9,10,1,60,48,32,0,Manager,1
15,9,0,48,25,32,1,Admin,1
22,0,0,64,67,19,1,Manager,1
12,2,0,89,45,22,1,Employee,1
16,4,0,161,32,24,0,Admin,1
8,3,0,88,50,8,0,Admin,0
12,8,0,107,30,36,0,Manager,1
9,9,1,115,69,8,0,Admin,1
4,9,0,36,39,33,0,Manager,1
4,10,0,82,8,35,0,Employee,1
10,2,0,196,40,26,1,Manager,1
14,10,1,39,24,6,0,Employee,1
0,9,1,156,72,39,0,Admin,1
7,3,0,92,10,30,0,Admin,1
19,7,1,48,49,31,1,Employee,1
5,3,0,9,52,0,1,Manager,1
7,10,0,194,26,4,0,Manager,1
19,7,1,118,31,27,1,Employee,1
19,6,1,101,78,36,0,Admin,1
3,7,1,11,31,33,1,Admin,1
1,8,1,133,80,3,0,Manager,1
14,6,1,199,36,29,0,Manager,1
9,9,0,177,66,9,1,Admin,1
14,1,0,47,74,34,0,Manager,1
13,5,1,7,22,29,0,Manager,1
2,4,1,178,20,7,0,Employee,1
22,7,1,22,67,24,0,Manager,1
17,6,0,197,21,21,0,Employee,1
4,2,0,108,39,19,1,Manager,1
20,2,0,34,25,0,1,Employee,1
14,7,1,140,0,38,1,Employee,1
6,9,1,117,52,28,0,Admin,1
19,0,0,141,35,39,0,Employee,1
5,2,0,168,44,2,0,Employee,0
21,9,1,85,11,3,0,Manager,1
5,2,1,157,76,36,0,Manager,1
23,9,1,10,11,19,1,Manager,1
12,1,1,141,8,18,1,Employee,1
3,4,1,135,52,33,0,Admin,1
6,9,0,28,73,40,0,Manager,1
23,9,1,110,77,20,1,Admin,1
18,9,1,34,78,36,1,Admin,1
23,10,1,127,23,39,0,Admin,1
9,3,0,31,3,29,0,Admin,1
6,9,1,106,5,21,1,Admin,1
20,3,0,164,25,18,1,Employee,1
9,4,1,197,0,7,1,Manager,1
12,9,0,45,24,21,1,Admin,1
15,7,0,166,17,30,0,Admin,1
14,8,1,119,52,3,1,Admin,1
23,10,1,143,68,1,0,Admin,1
21,5,1,17,19,17,0,Manager,1
12,10,0,147,77,24,0,Admin,1
3,4,1,182,4,17,1,Employee,1
15,3,1,116,38,13,1,Employee,1
3,5,0,200,25,5,1,Admin,1
0,7,0,49,43,30,1,Manager,1
4,1,0,53,4,29,1,Admin,1
16,1,0,80,5,38,0,Manager,1
14,0,0,134,39,1,1,Admin,1
6,5,0,50,36,17,1,Manager,1
21,1,1,39,20,17,0,Employee,1
19,8,0,53,69,22,1,Manager,1
4,4,0,44,9,19,1,Admin,1
14,0,0,8,60,3,0,Manager,0
1,1,1,101,22,38,1,Admin,1
11,4,1,51,68,5,1,Admin,1
4,1,1,25,58,19,1,Manager,1
7,3,0,158,33,23,1,Employee,1
22,10,1,84,58,31,0,Employee,1
15,1,1,123,59,10,1,Manager,1
19,9,0,131,13,25,0,Manager,1
17,10,0,78,68,29,1,Admin,1
13,3,0,141,20,30,1,Employee,1
10,3,1,112,72,21,0,Employee,1
21,10,0,190,73,31,0,Admin,1
19,7,1,143,12,28,0,Manager,1
12,1,0,176,76,24,1,Manager,1
20,10,0,24,27,8,0,Employee,1
21,2,1,137,37,24,1,Employee,1
6,10,1,77,72,19,1,Admin,1
11,1,0,157,65,25,0,Manager,1
1,5,0,1,71,22,0,Manager,1
0,3,1,180,75,25,1,Admin,1
12,6,1,112,69,13,0,Manager,1
4,3,1,93,53,9,1,Admin,1
4,2,0,19,2,9,1,Admin,1
13,2,0,36,53,29,1,Admin,1
5,7,1,142,57,24,1,Employee,1
5,6,0,148,63,15,1,Manager,1
17,9,1,9,4,36,1,Admin,1
11,1,1,177,10,9,1,Manager,1
16,1,0,63,60,40,0,Admin,1
20,8,1,157,6,21,0,Manager,1
14,8,1,147,42,26,1,Manager,1
9,2,0,178,76,19,1,Employee,1
20,7,0,147,6,18,0,Manager,1
15,1,0,130,9,17,1,Employee,1
19,4,1,66,1,7,0,Admin,1
23,2,1,95,22,16,0,Manager,1
5,8,0,88,10,9,0,Manager,1
13,6,0,170,56,40,0,Employee,1
18,5,0,165,33,7,0,Employee,0
14,6,1,78,60,34,0,Manager,1
21,6,1,68,18,33,1,Employee,1
9,7,1,174,40,33,0,Employee,1
17,10,1,111,78,17,1,Manager,1
8,1,1,168,74,25,1,Admin,1
23,3,0,134,43,11,1,Admin,1
0,10,0,18,1,26,0,Admin,1
3,10,1,90,28,18,1,Employee,1
1,0,0,15,76,13,0,Admin,0
3,1,0,97,72,11,0,Admin,0
5,4,1,120,9,40,1,Manager,1
13,10,1,66,20,4,1,Employee,1
12,6,1,16,33,16,0,Manager,1
2,7,0,157,50,11,1,Employee,1
4,8,1,56,78,6,1,Admin,1
8,1,0,19,9,36,1,Manager,1
0,7,0,168,0,2,1,Manager,1
4,5,1,148,0,32,1,Manager,1
13,6,0,139,28,0,1,Admin,1
15,1,1,86,38,25,0,Admin,1
20,1,1,137,43,5,1,Manager,1
20,3,0,142,5,24,0,Manager,1
22,6,0,162,45,31,0,Admin,1
14,3,0,10,24,1,0,Manager,0
12,1,1,128,68,28,0,Employee,1
10,0,1,185,5,25,0,Employee,1
20,10,1,174,68,9,0,Employee,1
1,2,1,168,2,30,0,Employee,1
22,10,0,4,22,40,0,Manager,1
3,7,0,152,8,6,0,Manager,1
19,9,0,17,25,27,1,Admin,1
21,6,1,31,73,34,0,Manager,1
6,0,0,86,8,7,1,Employee,1
13,2,1,142,21,28,0,Admin,1
1,2,0,162,78,24,0,Employee,1
15,1,0,2,22,5,1,Manager,1
22,7,0,53,18,40,1,Admin,1
14,6,0,45,78,2,0,Admin,1
15,9,0,161,38,22,1,Employee,1
17,3,0,31,67,6,1,Admin,1
16,3,1,198,80,13,1,Employee,1
6,1,0,176,60,31,0,Employee,1
21,0,0,166,46,18,0,Manager,0
8,5,1,12,13,3,0,Employee,1
0,7,0,19,30,28,1,Manager,1
6,10,1,59,14,20,0,Employee,1
7,6,0,97,28,4,1,Admin,1
15,0,1,38,27,39,1,Employee,1
12,5,0,118,24,40,1,Manager,1
6,5,0,9,72,3,1,Employee,1
3,7,1,108,21,21,0,Manager,1
19,2,0,148,70,14,0,Manager,0
16,7,0,152,60,29,1,Employee,1
23,6,0,64,41,27,0,Admin,1
4,9,0,107,5,2,1,Admin,1
16,0,1,136,50,30,0,Manager,1
15,3,0,143,1,26,0,Employee,1
11,4,0,166,11,1,1,Admin,1
9,2,1,147,74,1,1,Manager,1
4,6,0,95,80,29,0,Admin,1
2,6,1,136,4,18,1,Manager,1
22,9,0,176,10,39,1,Admin,1
1,8,1,14,14,24,1,Manager,1
19,0,1,94,22,35,0,Admin,1
22,3,0,86,30,34,0,Admin,1
15,9,0,193,28,20,1,Manager,1
16,10,1,71,6,4,1,Manager,1
14,7,0,121,68,34,1,Manager,1
19,5,0,49,58,5,0,Manager,0
5,4,0,28,21,17,0,Admin,0
4,7,0,53,66,40,0,Manager,1
13,10,0,122,44,26,1,Admin,1
20,0,1,49,8,1,0,Admin,1
20,5,1,149,43,20,1,Admin,1
21,8,1,118,38,36,0,Manager,1
5,4,0,124,47,18,0,Employee,0
11,4,1,43,79,10,1,Employee,1
5,10,0,42,30,7,0,Manager,1
18,2,1,67,47,11,0,Admin,1
22,0,1,89,18,23,1,Admin,1
5,8,1,32,3,25,1,Employee,1
14,5,0,2,69,32,1,Admin,1
22,4,1,75,73,9,1,Manager,1
22,1,1,11,17,35,0,Manager,1
0,6,0,115,45,5,1,Employee,1
19,10,0,150,67,14,1,Employee,1
0,1,1,174,11,32,1,Employee,1
15,5,0,171,46,25,0,Admin,1
13,5,1,96,1,18,1,Manager,1
9,7,0,56,56,26,1,Manager,1
5,6,1,36,75,38,0,Employee,1
6,4,1,135,42,4,1,Employee,1
0,6,1,107,22,35,1,Admin,1
18,2,0,48,48,18,1,Employee,1
9,9,1,127,71,29,0,Employee,1
0,2,1,77,60,7,1,Manager,1
5,7,0,8,15,17,1,Employee,1
19,5,1,145,55,16,1,Admin,1
3,5,0,67,20,37,0,Employee,1
10,7,0,92,20,3,1,Manager,1
13,10,1,13,37,18,0,Admin,1
6,10,0,196,12,38,0,Admin,1
10,5,1,70,46,6,1,Employee,1
0,2,1,96,62,26,1,Employee,1
3,3,0,129,28,12,0,Manager,0
14,1,0,34,2,30,1,Manager,1
22,5,0,114,76,33,1,Employee,1
22,4,0,191,15,14,0,Admin,0
4,3,1,33,26,8,0,Manager,1
22,1,0,5,61,27,0,Employee,1
3,0,0,121,15,16,0,Employee,0
9,10,0,194,12,7,0,Admin,1
6,2,1,8,11,9,1,Admin,1
11,5,0,129,78,15,0,Employee,0
18,0,0,184,24,18,0,Admin,0
0,1,0,130,60,23,0,Manager,1
21,1,0,91,48,27,0,Admin,1
7,6,0,195,40,7,1,Employee,1
16,2,1,196,46,18,0,Employee,1
10,7,0,99,36,29,1,Admin,1
14,3,1,75,54,12,0,Manager,1
21,5,0,4,62,6,1,Manager,1
16,10,0,31,18,25,1,Admin,1
18,1,0,17,46,12,1,Employee,1
19,6,0,60,54,31,1,Admin,1
18,9,1,194,51,22,1,Admin,1
19,6,1,131,35,9,1,Employee,1
3,4,1,128,29,40,0,Employee,1
3,0,0,128,3,11,1,Admin,1
21,5,0,78,79,39,0,Employee,1
21,8,1,120,25,18,1,Manager,1
16,4,1,139,69,1,0,Manager,1
3,6,1,81,48,28,1,Employee,1
1,2,1,181,21,31,1,Employee,1
9,6,1,196,14,36,1,Admin,1
17,10,1,122,71,10,0,Manager,1
8,7,1,158,45,18,1,Employee,1
0,9,0,33,46,22,0,Admin,1
10,6,0,110,44,22,1,Manager,1
1,10,0,64,30,19,0,Admin,1
2,4,0,87,21,1,1,Employee,1
14,10,1,146,65,26,1,Employee,1
